video,score,content
4k_15M_Light2,8.481203216954484,Light2
4k_3M_Daylight1,20.81147263654867,Daylight1
4k_6M_CourtYard,8.856928752844581,CourtYard
1080p_1M_UrbanLandmark,31.262102264090373,UrbanLandmark
4k_3M_CargoBoat,42.95954732162514,CargoBoat
4k_6M_Chasing1,3.184793480188816,Chasing1
1080p_9M_Daylight1,11.091586512185216,Daylight1
540p_2.2M_CargoBoat,50.99024557393357,CargoBoat
1080p_6M_CourtYard,10.350077186254964,CourtYard
1080p_1M_golf2,53.05411995664859,golf2
4k_3M_NighTraffic,26.544347230087496,NighTraffic
4k_6M_football6,6.557983373510183,football6
4k_ref_CargoBoat,0.0,CargoBoat
4k_3M_UrbanLandmark,12.064811172416768,UrbanLandmark
1080p_9M_football8,11.55355385542648,football8
4k_15M_NighTraffic,-1.8996212000205617,NighTraffic
1080p_6M_football6,9.769406963979035,football6
4k_15M_CourtYard,-0.8616929384482717,CourtYard
4k_6M_football3,7.090799961559313,football3
540p_2.2M_Chasing1,48.04760601644871,Chasing1
1080p_9M_Light2,16.251165002557784,Light2
4k_6M_golf2,9.780270637047494,golf2
720p_2.6M_Light2,47.16770020620015,Light2
4k_3M_golf2,29.791467115492395,golf2
4k_3M_football3,24.43417440654416,football3
1080p_6M_Chasing1,9.143289306990113,Chasing1
720p_4.6M_football3,24.66925645858804,football3
1080p_9M_football9,13.767932815228988,football9
4k_15M_Daylight1,4.382403738244904,Daylight1
4k_15M_football3,1.5081895064760855,football3
4k_3M_Light2,47.59752920581929,Light2
720p_2.6M_Light3,28.252991711489045,Light3
720p_4.6M_UrbanLandmark,20.719043473771837,UrbanLandmark
720p_4.6M_NighTraffic,19.978878705028198,NighTraffic
1080p_9M_Porsche,4.818584624047915,Porsche
540p_2.2M_football6,40.58669599454831,football6
720p_2.6M_football3,27.972395696794077,football3
4k_ref_UrbanLandmark,0.0,UrbanLandmark
4k_ref_football8,0.0,football8
4k_ref_golf2,0.0,golf2
540p_2.2M_CourtYard,41.472782554722,CourtYard
4k_6M_football8,5.475352971920572,football8
540p_2.2M_Daylight1,37.54738643594378,Daylight1
4k_6M_NighTraffic,6.027285897549291,NighTraffic
720p_4.6M_Light3,25.8951850516968,Light3
1080p_9M_Chasing1,8.945447489725026,Chasing1
